combination_id,sampling_rates_mhz,num_rates,sum_sampling_rate_mhz,max_sampling_rate_mhz,gcd_mhz,lcm_mhz,temporal_period_mhz,temporal_unique_coverage,joint_unique_coverage,spatial_absolute_gain,resolve_rate_among_temporal_ambiguous,mean_temporal_candidates,median_temporal_candidates,p90_temporal_candidates,p95_temporal_candidates,max_temporal_candidates,mean_joint_candidates,median_joint_candidates,p90_joint_candidates,p95_joint_candidates,max_joint_candidates,mean_candidate_reduction,median_candidate_reduction,p10_candidate_reduction,p90_candidate_reduction,temporal_margin_min,temporal_margin_p05,temporal_margin_p10,temporal_margin_median,temporal_margin_mean,joint_margin_min,joint_margin_p05,joint_margin_p10,joint_margin_median,joint_margin_mean,broadside_joint_coverage,off_broadside_joint_coverage,runtime_seconds,status,category,is_pareto_optimal
r_30_48_50_64,30+48+50+64,4,192,64,2,4800,4800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.11697434317749152,0.11697434317749152,0.1154542527436863,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.08271617296463854,0.0704551209508902,1.0,1.0,0.15208560007158667,ok,C,False
r_32_35_45_80,32+35+45+80,4,192,80,1,10080,10080,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08414320011147662,0.08414320011147662,0.08414320011147662,0.08414320011147662,0.0841432001114766,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.06100318434500106,0.06167309437374152,1.0,1.0,0.14475239999592304,ok,C,False
r_32_35_50_75,32+35+50+75,4,192,75,1,16800,16800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07796539819898651,0.07796539819898651,0.07796539819898651,0.07796539819898651,0.07796539819898651,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.05876367253849209,0.06241206899971325,1.0,1.0,0.14558949996717274,ok,C,False
r_32_40_45_75,32+40+45+75,4,192,75,1,7200,7200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.078125,0.078125,0.078125,0.078125,0.0861472184723975,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.07068752618731199,0.06561142855980881,1.0,1.0,0.14956249995157123,ok,C,False
r_35_45_48_64,35+45+48+64,4,192,64,1,20160,20160,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06135623974677879,0.06135623974677879,0.06135623974677879,0.10004881620988826,0.08466790487118292,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.07172091219409746,0.06509277274849132,1.0,1.0,0.1444699999410659,ok,C,False
r_45_48_100,45+48+100,3,193,100,1,3600,3600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07136690827482874,0.07136690827482874,0.07136690827482874,0.07136690827482874,0.07136690827482874,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.051717770580793986,0.0522813303764873,1.0,1.0,0.14385840005706996,ok,C,False
r_20_25_48_100,20+25+48+100,4,193,100,1,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.021114881390733527,0.029465598106111705,0.029521431967192743,0.03247708344656561,0.03659680234451424,1.0,1.0,0.1240927999606356,ok,C,False
r_20_32_45_96,20+32+45+96,4,193,96,1,1440,1440,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08617828920826984,0.08617828920826984,0.08617828920826984,0.08617828920826984,0.09280948908887275,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.06514125437072345,0.06940193451264567,1.0,1.0,0.15824080002494156,ok,C,False
r_20_45_48_80,20+45+48+80,4,193,80,1,720,720,0.43283582089552236,0.6277628252181714,0.19492700432264903,0.3436870865688812,1.5671641791044777,2.0,2.0,2.0,2.0,1.3722371747818285,1.0,2.0,2.0,2.0,0.1718435432844406,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06189329894042766,0.0,0.005753638716887806,0.013257457930468432,0.07440767979515182,0.06608328055280849,0.43283582089552236,0.6706467661691542,0.13852609996683896,ok,D,False
r_20_48_50_75,20+48+50+75,4,193,75,1,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.08505457275577812,0.07418837615236318,1.0,1.0,0.14225439995061606,ok,C,False
