num_elements,frequency_hz,angle_deg,snr_db,snapshots_per_branch,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
4,300000000.0,30.0,0.0,128,1.0001109147173892,1.0001109147173892,1.0001109147173892,1.0001109147173892,1.0001109147173892,1.0001109147173892,0.0,1.0,0.0,0.0
4,1300000000.0,30.0,0.0,128,0.052113772891093646,0.052113772891093646,0.052113772891093646,0.052113772891093646,0.052113772891093646,0.052113772891093646,1.0,1.0,0.0,0.0
8,300000000.0,30.0,0.0,128,0.789742982384741,0.789742982384741,0.789742982384741,0.789742982384741,0.789742982384741,0.789742982384741,1.0,1.0,0.0,0.0
8,1300000000.0,30.0,0.0,128,0.05501677286232365,0.05501677286232365,0.05501677286232365,0.05501677286232365,0.05501677286232365,0.05501677286232365,1.0,1.0,0.0,0.0
16,300000000.0,30.0,0.0,128,0.33937398254932916,0.33937398254932916,0.33937398254932916,0.33937398254932916,0.33937398254932916,0.33937398254932916,1.0,1.0,0.0,0.0
16,1300000000.0,30.0,0.0,128,-0.053004776148810606,0.053004776148810606,0.053004776148810606,0.053004776148810606,0.053004776148810606,0.053004776148810606,1.0,1.0,0.0,0.0
